Input,Output,Domain
"04:00에 직원 1명이 정지 후 재이동 후 18m 이동했습니다, 기준: 5m",04:00에 물류센터 A구역에서 직원 1명이 18m 정지 후 재이동 감지되었습니다. 기준 5m를 13m 초과하여 이상 행동으로 판단됩니다. 보안팀은 즉시 현장 확인하세요.,이상 이동 패턴 감지
"사무실 C구역에서 오전 6시 5분에 지게차 1대가 급정지 6초, 기준: 5초",지게차 1대가이 오전 6시 5분에 사무실 C구역에서 6초 급정지 감지되었습니다. 기준 5초를 1초 초과하여 이상 행동으로 판단됩니다. 보안팀은 즉시 현장 확인하세요.,이상 이동 패턴 감지
"00:30에 외부인 1명이 구역 경로 우회 후 20m 이동했습니다, 기준 없음",00:30에 사무실 C구역에서 외부인 1명이 20m 구역 경로 우회 감지되었습니다. 해당 행동은 비정상 이동 패턴으로 평가됩니다. 기준이 정의되지 않아 추가 판단이 불가하니 관찰 상태를 유지하세요. 지속 모니터링을 권장합니다.,이상 이동 패턴 감지
"기준 없음, 08:00 물류센터 A구역에서 환자 1명이 구역 경로 우회 8m",08:00에 물류센터 A구역에서 환자 1명이 8m 구역 경로 우회 감지되었습니다. 기준이 정의되지 않아 추가 판단이 불가하니 관찰 상태를 유지하세요.,이상 이동 패턴 감지
"트럭 1대가 03:20에 학교 운동장에서 정지 후 재이동 5m, 기준: 5m",학교 운동장에서 03:20에 트럭 1대가 5m 정지 후 재이동 감지되었습니다. 측정값이 기준 5m에 부합하여 정상 범위로 평가됩니다. 반복 시 점검을 권장합니다.,이상 이동 패턴 감지
"아침 2시 10분 공장 B동에서 승용차 1대가 동선 이탈 19m, 기준: 15m",공장 B동에서 아침 2시 10분에 승용차 1대가 19m 동선 이탈 감지되었습니다. 기준 15m를 4m 초과하여 이상 행동으로 판단됩니다. 보안팀은 즉시 현장 확인하세요.,이상 이동 패턴 감지
"아침 7시 10분 운동장에서 환자 1명이 급정지 17m간, 기준 미설정",환자 1명이이 아침 7시 10분에 운동장에서 17m간 급정지 감지되었습니다. 기준치가 설정되지 않아 관찰만 유지하세요. 지속 모니터링을 권장합니다.,이상 이동 패턴 감지
"13:15에 승객 1명이 비정상 방향 전환 후 3초 이동했습니다, 기준 없음",13:15에 B동에서 승객 1명이 3초 비정상 방향 전환 감지되었습니다. 기준치가 설정되지 않은 구역이므로 모니터링만 진행하십시오. 지속 모니터링을 권장합니다.,이상 이동 패턴 감지
"트럭 1대가이 16:20에 병원 응급실 로비에서 구역 경로 우회 동작을 보였으며 18초 머물렀습니다, 기준: 5초",기준 5초를 13초 초과하여 이상 행동으로 판단됩니다. 보안팀은 즉시 현장 확인하세요. 16:20에 병원 응급실 로비에서 트럭 1대가 18초 구역 경로 우회 감지되었습니다.,이상 이동 패턴 감지
"기준 없음, 08:10에 승객 1명이 비정상 방향 전환 후 13초 이동했습니다",주차장 D구역에서 08:10에 승객 1명이 13초 비정상 방향 전환 감지되었습니다. 기준치가 설정되지 않은 구역이므로 모니터링만 진행하십시오. 지속 모니터링을 권장합니다.,이상 이동 패턴 감지
