Input,Output,Domain
"08:52 건설현장 1공구 기술자 4명 3분간 엎드린 상태, 기준 1분",08:52에 건설현장 1공구에서 기술자 4명이 3분간 엎드린 자세로 있습니다. 기준 1분을 2분 넘어서 심각한 상황으로 평가됩니다. 긴급 의료 지원이 필요한 상황이므로 즉시 대응해주세요.,쓰러짐 및 장기 정지 감지
"아동 2명 학교 운동장 오후 6시 00분 2분간 엎드린 상태, 허용치 1분",아동 2명이 학교 운동장에서 오후 6시 00분에 2분간 엎드린 자세를 취하고 있습니다. 허용치 1분을 1분 웃돌았기에 응급 상황으로 분류됩니다. 즉시 119에 신고하여 응급처치를 요청해주세요.,쓰러짐 및 장기 정지 감지
"학교 복도 17:39 아동 3명 3분간 쓰러진 상태, 안전 기준 1분",학교 복도에서 17:39에 아동 3명이 3분간 쓰러진 채로 있는 것이 인식되었습니다. 안전 기준 1분을 2분 웃돌아 응급 상황으로 해석됩니다. 즉시 119에 신고하여 응급처치를 요청해주세요.,쓰러짐 및 장기 정지 감지
"주차장 오후 9시 54분 이용자 4명 12분간 주저앉은 자세, 표준치 10분",주차장에서 오후 9시 54분에 이용자 4명이 12분간 주저앉은 상태인 것이 인지되었습니다. 표준치 10분을 2분 상회하여 관찰 필요 상황으로 인식됩니다. 담당팀이 즉시 현장 확인하여 필요 조치를 취해주세요.,쓰러짐 및 장기 정지 감지
"오후 9시 43분 창고 입구 기술자 2명 8분간 움직임 없는 자세, 기준치 3분",오후 9시 43분에 창고 입구에서 기술자 2명이 8분간 움직임 없는 자세로 있습니다. 기준치 3분을 5분 넘어섰기에 위험 상황으로 인식됩니다. 응급상황으로 판단되어 신속한 대응이 요구됩니다. 위급상황이므로 즉시 의료진 출동을 요청하고 현장 대응해주세요.,쓰러짐 및 장기 정지 감지
"10:58에 건설현장 입구에서 작업자 1명이 6분간 누워진 상태입니다, 허용치 2분",10:58에 건설현장 입구에서 작업자 1명이 6분간 누워진 상태가 포착되었습니다. 즉시 응급처치를 실시하고 의료진 출동을 요청해주세요.,쓰러짐 및 장기 정지 감지
"상점 창고에서 오전 7시 49분에 작업자 3명이 13분간 웅크린 상태입니다, 기준치 9분",상점 창고에서 오전 7시 49분에 작업자 3명이 13분간 웅크린 상태인 것이 모니터링되었습니다. 기준치 9분을 4분 초과하여 관찰 필요 상황으로 인식됩니다. 담당팀이 즉시 현장 확인하여 필요 조치를 취해주세요.,쓰러짐 및 장기 정지 감지
"오후 7시 36분에 공장 휴게실에서 작업자 4명이 13분간 멈춰 있는 상태입니다, 허용치 23분",오후 7시 36분에 공장 휴게실에서 작업자 4명이 13분간 멈춰 있는 자세로 있습니다. 허용치 23분보다 10분 적어 허용 범위으로 판단됩니다. 허용 범위 내의 정상적인 활동으로 평가됩니다. 안전한 수준이므로 정기적인 점검을 지속해주세요.,쓰러짐 및 장기 정지 감지
"병원 로비 새벽 2시 44분 간병인 3명 19분간 서 있는 상태, 허용 기준 없음",간병인 3명이 병원 로비에서 새벽 2시 44분에 19분간 서 있는 상태로 있는 것이 파악되었습니다. 상황 파악이 필요한 상태로 인식됩니다. 담당팀에 연락하여 현장 확인을 요청해주시기 바랍니다.,쓰러짐 및 장기 정지 감지
"15:28 건설현장 관리자 4명 7분간 엎드린 상태, 기준치 2분",15:28에 건설현장에서 관리자 4명이 7분간 엎드린 채로 머물고 있습니다. 기준치 2분을 5분 웃돌아 긴급 상황으로 판단됩니다. 생명이 위험할 수 있으므로 즉시 119 신고 후 응급처치를 해주세요.,쓰러짐 및 장기 정지 감지
"역 오후 9시 02분 이용자 1명 2분간 엎드린 채로 있음, 정상 기준 1분",역에서 오후 9시 02분에 이용자 1명이 2분간 엎드린 상태인 것이 감지되었습니다. 위급상황이므로 즉시 의료진 출동을 요청하고 현장 대응해주세요.,쓰러짐 및 장기 정지 감지
"건설현장 입구 오후 0시 47분 관리자 3명 5분간 누워진 상태, 허용 값 없음",관리자 3명이 건설현장 입구에서 오후 0시 47분에 5분간 누워진 상태로 있는 것이 관찰되었습니다. 추가 모니터링이 필요한 상황으로 평가됩니다. 기준 시간이 설정되지 않아 상황별 판단이 필요합니다. 현장 관리자에게 연락하여 상황 점검을 요청해주세요.,쓰러짐 및 장기 정지 감지
"행인 2명이 공원에서 새벽 0시 16분에 7분간 누워진 상태입니다, 허용 기준 3분",행인 2명이 공원에서 새벽 0시 16분에 7분간 누워진 채로 있는 것이 파악되었습니다. 긴급상황이므로 즉시 의료진을 호출하고 현장 확인이 필요합니다.,쓰러짐 및 장기 정지 감지
"작업자 4명이 건설현장에서 17:33에 14분간 움직임 없는 채로 있습니다, 허용치 7분",작업자 4명이 건설현장에서 17:33에 14분간 움직임 없는 자세를 취하고 있습니다. 허용치 7분을 7분 넘어서 긴급 상황으로 판별됩니다. 현장 안전을 확보하고 즉시 응급 의료진을 호출해주세요.,쓰러짐 및 장기 정지 감지
"병원 08:30 환자 2명 1분간 쓰러진 채로 있음, 임계값 없음",병원에서 08:30에 환자 2명이 1분간 쓰러진 자세를 유지하고 있습니다. 담당팀 확인이 필요한 상황으로 분석됩니다. 관련 부서와 협의하여 적절한 조치를 취해주시기 바랍니다.,쓰러짐 및 장기 정지 감지
"관리자 1명 공장 출입구 02:50 3분간 쓰러진 자세, 임계값 1분",관리자 1명이 공장 출입구에서 02:50에 3분간 쓰러진 상태로 있는 것이 모니터링되었습니다. 임계값 1분을 2분 웃돌았기에 심각한 상황으로 판별됩니다. 생명 위험 상황이므로 즉시 119 신고 및 응급처치가 필요합니다.,쓰러짐 및 장기 정지 감지
"병원 복도 오전 0시 46분 의료진 1명 5분간 움직임 없는 채로 있음, 기준 3분",병원 복도에서 오전 0시 46분에 의료진 1명이 5분간 움직임 없는 채로 있는 것이 검출되었습니다. 기준 3분을 2분 초과하여 중대 상황으로 분석됩니다. 응급상황으로 판단되어 신속한 대응이 요구됩니다. 응급 상황 대응 프로토콜에 따라 즉시 조치를 취해주세요.,쓰러짐 및 장기 정지 감지
"14:37에 공원 산책로에서 행인 2명이 14분간 움직임 없는 자세입니다, 허용치 4분",14:37에 공원 산책로에서 행인 2명이 14분간 움직임 없는 채로 머물고 있습니다. 허용치 4분을 10분 상회하여 중대 상황으로 결정됩니다. 응급 상황 대응 프로토콜에 따라 즉시 조치를 취해주세요.,쓰러짐 및 장기 정지 감지
"보호자 1명 요양원 오전 11시 53분 3분간 엎드린 자세, 기준 1분",보호자 1명이 요양원에서 오전 11시 53분에 3분간 엎드린 채로 있는 것이 인식되었습니다. 기준 1분을 2분 웃돌았기에 위험 상황으로 진단됩니다. 즉시 응급처치를 실시하고 의료진 출동을 요청해주세요.,쓰러짐 및 장기 정지 감지
"요양원 정원 07:28 보호자 2명 6분간 웅크린 상태, 기준치 5분",요양원 정원에서 07:28에 보호자 2명이 6분간 웅크린 자세를 유지하고 있습니다. 기준치 5분을 1분 넘어서 주의 상황으로 분석됩니다. 현장 점검을 통해 상황을 파악하고 적절한 조치를 취해주세요.,쓰러짐 및 장기 정지 감지
