"Input","Output","Domain"
"청소원 1명 저녁 8시 3분 건설현장 D동 헬멧 미착용 점검, 기준: 헬멧, 안전복","청소원 1명이 건설현장 D동에서 헬멧을 착용하지 않고 점검 작업을 진행하고 있습니다. 헬멧 소홀히 하여 머리 부상 위험이 발생할 수 있습니다. 즉시 대응이 요구됩니다.","작업자 안전장비 미착용 감지"
"기준: 헬멧, 안전화, 관리자 2명 밤 11시 40분 화학공장 A동 헬멧 없이 점검","관리자 2명이 화학공장 A동에서 헬멧을 착용하지 않고 점검 작업을 진행하고 있습니다. 헬멧 소홀히 하여 낙하물에 의한 두부 손상이 발생할 수 있습니다. 헬멧 착용 완료 후 점검 작업을 지속하세요.","작업자 안전장비 미착용 감지"
"기준: 안전복, 보안경, 타일공 1명 새벽 4시 41분 화학공장 B동 안전복 미착용 운반","타일공 1명이 화학공장 B동에서 안전복을 착용하지 않고 운반 작업을 수행하고 있습니다. 안전복 소홀히 하여 용접 불꽃에 의한 화상이 발생할 수 있습니다. 안전복 착용 후 작업 재개하시기 바랍니다.","작업자 안전장비 미착용 감지"
"기준: 헬멧, 보안경, 09:30 공장 C블록 철근공 1명 보안경 보호구 없이 절단","공장 C블록에서 철근공 1명이 보안경 없이 절단 작업을 수행하고 있습니다. 보안경 규정을 어겨 안구 손상 위험이 매우 높습니다. 보안경 착용 완료 후 절단 작업을 계속하세요.","작업자 안전장비 미착용 감지"
"기준: 보안경, 마스크, 낮 12시 55분 발전소 제어실 보수공 1명 보안경 착용하지 않은 상태로 관리","보수공 1명이 발전소 제어실에서 보안경을 착용하지 않고 관리 작업을 수행하고 있습니다. 보안경 소홀히 하여 기계 파편에 의한 시력 손상이 발생할 수 있습니다. 보안경 착용 완료 후 작업을 재개하세요.","작업자 안전장비 미착용 감지"
"정비소 A구역 오후 4시 38분 도장공 1명 보안경 장비 없이 제조, 기준: 헬멧, 보안경","도장공 1명이 정비소 A구역에서 보안경을 착용하지 않고 제조 작업을 진행 중입니다. 보안경 소홀히 하여 안구 손상 위험이 발생할 수 있습니다. 보안경 착용 개선이 시급합니다.","작업자 안전장비 미착용 감지"
"기준: 마스크, 보안경, 용접공 1명 19:03 조선소 도크 보안경 빼고 배관","조선소 도크에서 용접공 1명이 보안경 없이 배관 작업 중입니다. 보안경 규정을 어겨 기계 파편에 의한 시력 손상이 매우 높습니다. 심각한 안전장비 위반이 발견되었습니다. 보안경 착용 후 배관 작업을 계속하시기 바랍니다.","작업자 안전장비 미착용 감지"
"오후 5시 46분 화학공장에서 엔지니어 1명이 안전화 미착용 관리, 기준: 헬멧, 안전화","엔지니어 1명이 화학공장에서 안전화을 착용하지 않고 관리 작업을 하고 있습니다. 안전화 소홀히 하여 발 부상 위험이 발생할 수 있습니다. 안전화 착용 후 작업 재개하시기 바랍니다.","작업자 안전장비 미착용 감지"
"기준: 장갑, 헬멧, 09:03 건설현장 C층 용접공 1명 장갑 장비 미비로 관리","건설현장 C층에서 용접공 1명이 장갑 없이 관리 작업을 실시하고 있습니다. 장갑 소홀히 하여 화학적 접촉이 발생할 수 있습니다. 장갑 착용 조치를 즉시 실시하겠습니다.","작업자 안전장비 미착용 감지"
"08:50 화학공장에서 기능공 1명이 안전화 보호구 없이 목공, 기준: 장갑, 안전화","화학공장에서 기능공 1명이 안전화 없이 목공 작업을 진행하고 있습니다. 안전화 소홀히 하여 발 손상이 발생할 수 있습니다. 안전화 착용 완료 후 작업 재개가 필요합니다.","작업자 안전장비 미착용 감지"
