Input,Output,Domain
"07:25 제철소 용광로 2번 앞, 작업자 1명 18분간 쓰러진 자세, 안전기준 5분","위험상황입니다. 측정시간 18분이 안전기준 5분을 13분 넘어섰습니다. 제철소 용광로 2번 앞에서 07시 25분부터 작업자 1명이 쓰러진 자세로 있으니 즉시 119 신고하시기 바랍니다.",쓰러짐 및 장기 정지 감지
"시민 3명이 번화가 중앙광장 분수대 북쪽에서 오전 9시 40분부터 22분간 원형으로 앉아 있음, 허용시간 없음","22분간 원형으로 앉은 상태가 지속됩니다. 번화가 중앙광장 분수대 북쪽에서 오전 9시 40분부터 시민 3명이 허용시간 없이 집단 장기체류하니 보안순찰 강화하고 상황 모니터링 지속하세요.",쓰러짐 및 장기 정지 감지
"병원 응급실 대기구역 3번 침상 옆에서 환자 2명 9분간 의자에 기댄 자세 14:15, 기준 12분","기준 12분 이내 정상범위입니다. 병원 응급실 대기구역 3번 침상 옆에서 14시 15분부터 환자 2명이 9분간 의자에 기댄 자세로 의료진 일반 관찰 유지하면 됩니다.",쓰러짐 및 장기 정지 감지
"지하철 5호선 환승통로 서편 에스컬레이터 앞에서 16:50 승객 1명이 27분간 벽에 기대어 서 있는 상태입니다, 임계치 20분","임계치 20분보다 7분 길어진 27분이 측정되었습니다. 지하철 5호선 환승통로 서편 에스컬레이터 앞에서 16시 50분부터 승객 1명이 장시간 정지상태로 있으니 역무원 현장확인을 요청드립니다.",쓰러짐 및 장기 정지 감지
"아동 4명 어린이집 놀이실 매트존에서 6분간 바닥에 앉아 있음 10:30, 기준치 8분","6분간 바닥에 앉은 상태 확인됩니다. 어린이집 놀이실 매트존에서 10시 30분부터 아동 4명이 기준치 8분 내 정상활동으로 보육교사 계속 지켜봐 주세요.",쓰러짐 및 장기 정지 감지
"엎드려 있는 상태 13분간 근로자 2명 건설현장 타워크레인 하부 A구역 새벽 5시 10분, 안전기준 없음","안전기준 미설정이지만 복수인원 쓰러짐으로 긴급상황입니다. 건설현장 타워크레인 하부 A구역에서 새벽 5시 10분부터 근로자 2명이 13분간 엎드려 있어 즉시 119신고를 시행하시기 바랍니다.",쓰러짐 및 장기 정지 감지
"오후 7시 25분 대학교 도서관 3층 열람실 개인석 구역에서 학생 1명이 35분간 책상에 엎드려 있습니다, 제한시간 30분","35분간 책상에 엎드린 상태로 제한시간 30분을 5분 넘겼습니다. 대학교 도서관 3층 열람실 개인석 구역에서 오후 7시 25분부터 학생 1명이 장시간 정지하고 있으니 사서분께서 안전확인을 부탁드립니다.",쓰러짐 및 장기 정지 감지
"고객 5명 대형마트 푸드코트 중앙테이블 2번에서 19분간 앉아서 식사 중 12:15, 이용기준 15분","19분째 식사 중으로 이용기준 15분 벗어난 상황입니다. 대형마트 푸드코트 중앙테이블 2번에서 12시 15분부터 고객 5명이 점심시간 정상이용으로 매장직원 서비스 제공만 하세요.",쓰러짐 및 장기 정지 감지
"21:40 치안CCTV 12지점 상업지구 A구역에서 시민 2명 45분간 미동 없음, 관찰기준 25분","45분간 미동상태로 관찰기준 25분을 20분 넘어선 상황입니다. 치안CCTV 12지점 상업지구 A구역에서 21시 40분부터 시민 2명이 장기정지하고 있어 경찰순찰 즉시 출동을 요청합니다.",쓰러짐 및 장기 정지 감지
"승객 1명 고속터미널 대합실 벤치 3번에서 똑바로 앉은 자세 8분간 오전 6시 45분, 기준 없음","8분간 똑바로 앉은 자세로 기준 없이 새벽시간 대기상황입니다. 고속터미널 대합실 벤치 3번에서 오전 6시 45분부터 승객 1명이 터미널 관리실에서 일반 관찰하세요.",쓰러짐 및 장기 정지 감지
