Input,Output,Domain
"오전 10시 17분 옥상 경기도 성남시 체감온도 33도, 기준 30도","오전 10시 17분 옥상에서 성남시의 체감온도는 33도로 확인되었습니다. 기준 30도를 3도 초과하여 고온으로 인한 작업환경 악화가 우려됩니다. 옥상 작업자들의 휴식 시간과 음용수 공급을 강화하십시오.","온도 기반 쾌적도 및 폭염 예보 안내"
"야외 주차장 대전광역시 서구에서 오후 3시 41분 기온이 32도까지 올라 기준 30도를 넘었습니다","야외 주차장 대전 서구에서 오후 3시 41분 기온이 32도까지 상승했습니다. 기준 온도 30도를 2도 초과하여 주차장 관리 직원의 실외 작업 시 온열질환 주의가 필요합니다. 작업 시간 조정을 검토해 주세요.","온도 기반 쾌적도 및 폭염 예보 안내"
"09:23 자재 적치장 강원도 원주시 체감온도 34도, 기준 30도","09:23 자재 적치장 원주시의 체감온도가 34도로 나타났습니다. 기준 30도보다 4도 높은 수치이며, 내일 오후 2시경에는 더욱 상승할 것으로 예측됩니다. 적치장 주변 냉방 시설 점검과 작업자 충분한 수분 섭취를 당부드립니다.","온도 기반 쾌적도 및 폭염 예보 안내"
"컨테이너 주변 인천광역시 남동구의 불쾌지수가 81로 집계되었고, 허용치는 75입니다","컨테이너 주변 인천 남동구의 불쾌지수가 81로 기록되었습니다. 허용치 75를 6 상회하여 컨테이너 작업 시 집중력 저하 우려가 있습니다. 업무 강도 조절을 권장합니다.","온도 기반 쾌적도 및 폭염 예보 안내"
"기준 30도, 오전 8시 52분 창고 앞 경상북도 구미시 기온 31도 체감온도 34도","창고 앞 구미시에서 오전 8시 52분 기온 31도, 체감온도 34도로 기준 30도를 각각 1도, 4도 초과했습니다. 창고 작업 환경 개선 및 냉방기 가동 여부를 재확인해 주세요.","온도 기반 쾌적도 및 폭염 예보 안내"
"17:08 공사장 입구 전라북도 전주시에서 체감온도가 37도로 나타났으며, 기준은 30도입니다","17:08 공사장 입구 전주시의 체감온도는 37도로 감지되었습니다. 기준 30도보다 7도 높은 극도로 위험한 수준입니다. 공사장 근로자들의 안전을 위해 모든 실외 작업을 즉시 중단하고 응급 대응 체계를 가동해 주십시오.","온도 기반 쾌적도 및 폭염 예보 안내"
"허용치 75, 야외 작업장 광주광역시 동구 불쾌지수 79 오후 2시 36분","야외 작업장 광주 동구에서 오후 2시 36분 불쾌지수가 79로 집계되었습니다. 허용치 75보다 4 높아 야외 작업자들의 컨디션 관리가 필요한 상황입니다. 내일 오후 3시까지 고온이 지속될 전망으로 작업 순환 체계 운영을 검토하십시오.","온도 기반 쾌적도 및 폭염 예보 안내"
"건물 외부 제주도 제주시 저녁 5시 14분에 체감온도가 35도로 측정되었고, 기준은 30도입니다","건물 외부 제주시 저녁 5시 14분 체감온도는 35도로 나타났습니다. 기준 30도를 5도 넘겨 건물 외부 관리 직원 안전을 위한 조치가 필요합니다. 그늘진 휴게 공간 추가 개방을 검토하세요.","온도 기반 쾌적도 및 폭염 예보 안내"
"기준 미설정, 테라스 울산광역시 북구 기온 32도 새벽 7시 29분","테라스 울산 북구에서 새벽 7시 29분 기온이 32도로 기록되었으나 기준은 미설정입니다. 테라스 지역 이상 기온 현상으로 계속 모니터링하겠습니다.","온도 기반 쾌적도 및 폭염 예보 안내"
"14:47 마당 서울특별시 도봉구에서 기온이 33도로 기준을 초과했습니다","14:47 마당 도봉구의 기온이 33도로 확인되었습니다. 기준 30도를 3도 초과하여 마당 활동 시 아이들과 노약자 보호를 위한 추가 조치를 마련해 주세요.","온도 기반 쾌적도 및 폭염 예보 안내"
"기준 없음, 운동장 부산광역시 해운대구 체감온도 28도 오전 11시 03분","운동장 해운대구에서 오전 11시 03분 체감온도가 28도로 나타났습니다. 기준이 없어 즉각적인 조치는 필요 없지만, 오늘 오후 1시경 상승 추세를 주의해 주세요.","온도 기반 쾌적도 및 폭염 예보 안내"
"놀이터 충청남도 천안시에서 15:51 불쾌지수가 83으로 허용치 80을 넘었습니다","놀이터 천안시에서 15:51 불쾌지수가 83으로 집계되었습니다. 허용치 80을 3 넘어 아동들의 야외 활동 시 열사병 위험이 증가합니다. 놀이터 이용 시간을 제한하고 그늘막 설치를 검토해 주십시오.","온도 기반 쾌적도 및 폭염 예보 안내"
"체감온도 36도 야외 주차장 경기도 수원시 오후 4시 26분, 기준 30도","체감온도 36도로 야외 주차장 수원시에서 오후 4시 26분 감지된 수치입니다. 기준 30도보다 6도 높은 극도로 위험한 상황입니다. 주차장 관리 인력의 모든 실외 업무를 즉시 중단하고 냉방 시설이 있는 실내로 대피시키십시오.","온도 기반 쾌적도 및 폭염 예보 안내"
"새벽 6시 19분 옥상 대구광역시 수성구에서 기온이 29도로 기준 30도 이하입니다","새벽 6시 19분 옥상 대구 수성구의 기온은 29도로 기록되었습니다. 기준 30도 이하의 안전한 상태입니다. 현재는 옥상 작업에 무리가 없으나 오전 10시 이후 급상승이 예상되므로 예방 조치를 준비해 주세요.","온도 기반 쾌적도 및 폭염 예보 안내"
"자재 적치장 충청북도 청주시 오후 1시 33분 불쾌지수 78, 허용치 75","자재 적치장 청주시에서 오후 1시 33분 불쾌지수가 78로 확인되었습니다. 허용치 75를 3 초과하여 적치장 작업자들의 피로도가 증가할 것으로 보입니다. 휴식 간격을 단축하고 수분 보충을 강화하십시오.","온도 기반 쾌적도 및 폭염 예보 안내"
