"Input","Output","Domain"
"20:52 공장 의심 인물 5명 19초간 출입, 표준 24초","20:52 공장에서 의심 인물 5명의 19초간 움직임이 관찰되었습니다. 표준 24초 내에서 정상 범위의 일반적인 움직임으로 확인됩니다. 일반적인 보안 절차를 유지해주세요.","폐쇄시간 무단 출입 감지"
"03:46 병원 대기실 침입자 2명 34초간 체류, 허용 기준 29초","03:46 병원에서 침입자 2명의 34초간 움직임이 관찰되었습니다. 허용 기준 29초보다 5초 더 머물러 경계가 필요한 것으로 나타났습니다. 현장 담당자에게 연락해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"의심 인물 2명 오전 4시 15분 마트 매장 36초간 출입, 허용 기준 34초","의심 인물 2명이 오전 4시 15분 마트에서 36초간 머물고 있습니다. 허용 기준 34초보다 2초 더 머물러 작은 차이가 확인되었습니다. 현재 상황을 주의 깊게 관찰해주세요.","폐쇄시간 무단 출입 감지"
"18:02 학교 침입자 5명 55초간 출입, 허용 기준 45초","18:02 학교에서 침입자 5명이 55초간 접근했습니다. 허용 기준 45초를 10초 초과하여 위험이 감지되었습니다. 위험 상황으로 평가되는 상황입니다. 경비원이 현장 확인을 실시해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"22:56 치과에서 침입자 4명이 18초간 침입하고 있습니다, 일반 기준 14초","22:56 치과에서 침입자 4명이 18초간 머물러 있는 것이 감지되었습니다. 일반 기준 14초를 4초 초과하여 5시간 후 같은 장소에서 비슷한 문제가 생길 수 있습니다. 내일 오전 경비 순찰 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"오후 9시 07분 병원 미확인 인물 5명 47초간 체류, 일반 기준 43초","오후 9시 07분 병원에서 미확인 인물 5명이 47초간 머물러 있는 것이 감지되었습니다. 일반 기준 43초를 4초 초과하여 내일 오후 시간대에 비슷한 침입 시도가 있을 것으로 예상됩니다. 내일 해당 시간대 특별 경계를 실시해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"의심 인물 4명 오전 8시 58분 마트 복도 19초간 침입, 허용 기준 14초","의심 인물 4명이 오전 8시 58분 마트에서 19초간 무단 출입을 시도했습니다. 이 시간대를 집중 관찰해주세요.","폐쇄시간 무단 출입 감지"
"침입자 4명 오전 4시 05분 학교 교실 51초간 침입, 기준값 36초","침입자 4명이 오전 4시 05분 학교에서 51초간 머물렀습니다. 기준값 36초를 15초나 넘어서 위험 상태로 판단됩니다. 위험 요소가 감지된 상황입니다. 보안 시스템 점검과 감시 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"호텔에서 행인 3명이 오후 11시 36분 56초간 침입하고 있습니다, 일반 기준 41초","호텔에서 행인 3명이 오후 11시 36분 56초간 출입을 시도하고 있습니다. 출입 통제를 강화해주세요.","폐쇄시간 무단 출입 감지"
"아파트에서 의심 인물 2명이 오전 3시 55분 46초간 출입하고 있습니다, 평상시 42초","아파트에서 의심 인물 2명이 오전 3시 55분 46초간 침입을 시도하고 있습니다. 평상시 42초보다 4초 더 머물러 주의가 요구되는 상태입니다. 적절한 대응이 필요한 상황입니다. 보안 담당자가 현장을 확인해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"신원미상자 2명 오전 5시 17분 창고 출입문 32초간 체류, 기준값 27초","신원미상자 2명이 오전 5시 17분 창고에서 32초간 머물고 있습니다. 기준값 27초를 5초 초과하여 내일 같은 장소에서 비슷한 문제가 생길 수 있습니다. 지금부터 출입 통제를 점검해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"오전 9시 52분 상점 매장 신원미상자 4명 57초간 출입, 정상 기준 54초","오전 9시 52분 상점에서 신원미상자 4명이 57초간 머물러 있는 상황입니다. 정상 기준 54초를 3초 초과하여 3시간 후 동일한 패턴의 접근이 예상됩니다. 지금부터 출입 통제를 점검해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"학교 정문 05:32 미확인 인물 5명 45초간 출입, 일반 기준 34초","학교에서 미확인 인물 5명이 05:32 45초간 접근했습니다. 일반 기준 34초를 11초나 넘어서 경계 상태로 확인되었습니다. 경비원이 현장 확인을 실시해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"호텔에서 미확인 인물 1명이 오전 1시 43분 16초간 침입하고 있습니다, 평상시 13초","호텔에서 미확인 인물 1명이 오전 1시 43분 16초간 침입을 시도하고 있습니다. 일반적인 보안 절차를 유지해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"외부인 1명이 오후 8시 45분 공장에서 43초간 체류하고 있습니다, 일반 기준 42초","외부인 1명이 오후 8시 45분 공장에서 43초간 출입했습니다. 일반 기준 42초를 1초 초과하여 오늘 늦은 시간에 재침입 가능성이 높습니다. 몇 시간 후를 위한 경비원 추가 배치가 필요합니다.","폐쇄시간 무단 출입 감지"
"치과에서 신원미상자 2명이 오후 9시 55분 35초간 침입하고 있습니다, 기준값 36초","치과에서 신원미상자 2명이 오후 9시 55분 35초간 침입을 시도하고 있습니다. 기준값 36초 내에서 정상 범위의 일반적인 움직임으로 확인됩니다. 안전한 상태가 유지되고 있습니다.","폐쇄시간 무단 출입 감지"
"신원미상자 2명 22:50 창고 적재실 34초간 출입, 정상 기준 29초","신원미상자 2명이 22:50 창고에서 34초간 진입을 시도하고 있습니다. 현장 담당자에게 연락해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"신원미상자 3명 23:47 공장 사무실 52초간 체류, 평상시 41초","신원미상자 3명이 23:47 공장에서 52초간 출입했습니다. 평상시 41초를 11초나 넘어서 경계 상태로 확인되었습니다. 위험 요소가 감지된 상황입니다. 보안 시스템 점검과 감시 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"행인 4명 오전 6시 24분 마트 주차장 31초간 침입, 일반 기준 36초","행인 4명이 오전 6시 24분 마트에서 31초간 머물렀습니다. 일반 기준 36초 내에서 허용 시간 내의 안전한 활동으로 평가됩니다. 정상적인 상황이므로 안심하셔도 됩니다.","폐쇄시간 무단 출입 감지"
"미확인 인물 2명이 오전 6시 52분 상점 사무실에서 48초간 침입하고 있습니다, 정상 기준 41초","미확인 인물 2명이 오전 6시 52분 상점에서 48초간 머물렀습니다. 정상 기준 41초를 7초 초과하여 경계가 필요한 것으로 나타났습니다. 현장 담당자에게 연락해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"오전 3시 40분 약국에서 침입자 5명이 17초간 출입하고 있습니다, 표준 13초","오전 3시 40분 약국에서 침입자 5명이 17초간 접근했습니다. 즉시 경비 순찰 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"상점 창고 오전 4시 44분 무단침입자 1명 50초간 침입, 평상시 44초","창고에서 무단침입자 1명이 오전 4시 44분 50초간 머물렀습니다. 평상시 44초를 6초 초과하여 비슷한 행동 패턴이 계속될 수 있습니다. 3시간 후 동일한 패턴의 접근이 예상됩니다. 이 시간대를 집중 관찰해주세요.","폐쇄시간 무단 출입 감지"
"침입자 4명 02:24 마트 47초간 체류, 허용 기준 38초","침입자 4명이 02:24 마트에서 47초간 머물고 있습니다. 허용 기준 38초를 9초 초과하여 위험이 감지되었습니다. 경계 강화가 필요한 상황입니다. 출입 통제를 강화해주세요.","폐쇄시간 무단 출입 감지"
"22:51 상점에서 외부인 3명이 24초간 체류하고 있습니다, 표준 19초","22:51 상점에서 외부인 3명이 24초간 접근했습니다. 해당 구역을 점검해주세요.","폐쇄시간 무단 출입 감지"
"오전 3시 35분 상점 진열실에서 침입자 2명이 39초간 체류하고 있습니다, 기준값 44초","오전 3시 35분 상점에서 침입자 2명이 39초간 접근했습니다. 기준값 44초 내에서 계속해서 상황을 지켜봐주세요.","폐쇄시간 무단 출입 감지"
"병원 복도 오전 1시 40분 외부인 2명 32초간 체류, 표준 22초","병원에서 외부인 2명이 오전 1시 40분 32초간 접근했습니다. 현장 보안 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"병원 03:49 신원미상자 1명 47초간 체류, 평상시 43초","병원에서 신원미상자 1명이 03:49 47초간 출입을 시도하고 있습니다. 상황 점검을 위해 현장에 가주세요.","폐쇄시간 무단 출입 감지"
"03:02 유치원 놀이터 외부인 4명 42초간 체류, 일반 기준 41초","03:02 유치원에서 외부인 4명의 42초간 침입 시도가 감지되었습니다. 일반 기준 41초를 1초 초과하여 이런 패턴은 반복될 가능성이 높습니다. 유사한 침입 시도가 재발할 것으로 보입니다. 오늘 늦은 시간 보안 시스템을 점검해주세요.","폐쇄시간 무단 출입 감지"
"의심 인물 1명 22:47 상점 입구 53초간 침입, 정상 기준 38초","의심 인물 1명이 22:47 상점에서 53초간 출입했습니다. 정상 기준 38초를 15초나 넘어서 경고가 발령되었습니다. 강화된 대응이 필요한 상황입니다. 경비원이 현장 확인을 실시해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"마트 매장에서 외부인 1명이 03:44 32초간 침입하고 있습니다, 표준 29초","마트에서 외부인 1명이 03:44 32초간 접근했습니다. 표준 29초보다 3초 더 머물러 기준을 약간 넘은 것으로 나타났습니다. 약간의 주의 깊은 관찰이 필요한 상황입니다. 현재 상황을 주의 깊게 관찰해주세요.","폐쇄시간 무단 출입 감지"
"오전 4시 43분 유치원 신원미상자 3명 34초간 체류, 허용 기준 24초","오전 4시 43분 유치원에서 신원미상자 3명이 34초간 머물러 있는 것이 감지되었습니다. 허용 기준 24초를 10초 초과하여 경고 상태로 분류됩니다. 출입 통제를 강화해주세요.","폐쇄시간 무단 출입 감지"
"학교에서 무단침입자 4명이 02:04 50초간 출입하고 있습니다, 허용 기준 38초","학교에서 무단침입자 4명이 02:04 50초간 체류 중인 것으로 파악되었습니다. 즉시 현장 점검을 실시해주세요.","폐쇄시간 무단 출입 감지"
"연구소 오전 5시 29분 신원미상자 2명 58초간 침입, 평상시 54초","연구소에서 신원미상자 2명이 오전 5시 29분 58초간 활동하는 것이 확인되었습니다. 평상시 54초를 4초 초과하여 반복적인 침입 시도가 우려됩니다. 오늘 밤 시간대에 유사한 상황이 발생할 수 있습니다. 오늘 늦은 시간 보안 시스템을 점검해주세요.","폐쇄시간 무단 출입 감지"
"행인 2명이 오전 2시 21분 상점 매장에서 44초간 출입하고 있습니다, 허용 기준 36초","행인 2명이 오전 2시 21분 상점에서 44초간 진입을 시도하고 있습니다. 허용 기준 36초를 8초 초과하여 경계 상태로 확인되었습니다. 경비원이 현장 확인을 실시해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"의심 인물 3명 오전 3시 46분 치과 57초간 침입, 평상시 53초","의심 인물 3명이 오전 3시 46분 치과에서 57초간 무단 출입을 시도했습니다. 평상시 53초를 4초 초과하여 이런 패턴은 반복될 가능성이 높습니다. 향후 12시간 동안 주의 깊은 관찰이 필요합니다. 지금부터 출입 통제를 점검해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"공장 오후 8시 54분 외부인 5명 38초간 침입, 정상 기준 42초","공장에서 외부인 5명이 오후 8시 54분 38초간 출입을 시도하고 있습니다. 정상 기준 42초 내에서 정상적인 출입 활동으로 확인됩니다. 현재 보안 상태는 양호한 상태입니다.","폐쇄시간 무단 출입 감지"
"오후 8시 09분 학교 복도에서 신원미상자 5명이 43초간 출입하고 있습니다, 표준 34초","오후 8시 09분 학교에서 신원미상자 5명의 43초간 움직임이 관찰되었습니다. 표준 34초를 9초 초과하여 위험한 상태로 평가되었습니다. 즉시 현장 점검을 실시해주세요.","폐쇄시간 무단 출입 감지"
"미확인 인물 5명 06:46 유치원 72초간 체류, 표준 60초","미확인 인물 5명이 06:46 유치원에서 72초간 침입을 시도하고 있습니다. 담당팀의 현장 출동이 필요합니다.","폐쇄시간 무단 출입 감지"
"03:16 학교 화장실 외부인 3명 21초간 출입, 허용 기준 23초","03:16 학교에서 외부인 3명이 21초간 접근했습니다. 허용 기준 23초 내에서 기준 시간 내에서 안전한 상황입니다. 일반적인 보안 절차를 유지해주세요.","폐쇄시간 무단 출입 감지"
"공장 정문 오전 1시 55분 침입자 5명 21초간 출입, 일반 기준 13초","공장에서 침입자 5명이 오전 1시 55분 21초간 침입을 시도하고 있습니다. 일반 기준 13초를 8초 초과하여 위험한 상태로 평가되었습니다. 경고 수준의 대응이 필요한 상황입니다. 보안 시스템 점검과 감시 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"치과 오후 10시 47분 행인 2명 30초간 체류, 표준 20초","치과에서 행인 2명이 오후 10시 47분 30초간 활동하는 것이 확인되었습니다. 표준 20초를 10초 초과하여 위험이 감지되었습니다. 보안 시스템 점검과 감시 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"미확인 인물 1명이 오전 2시 23분 학교 교실에서 49초간 침입하고 있습니다, 허용 기준 37초","미확인 인물 1명이 오전 2시 23분 학교에서 49초간 머물고 있습니다. 허용 기준 37초를 12초나 넘어서 위험이 감지되었습니다. 출입 통제를 강화해주세요.","폐쇄시간 무단 출입 감지"
"오전 6시 35분 학교 미확인 인물 5명 28초간 출입, 기준값 22초","오전 6시 35분 학교에서 미확인 인물 5명이 28초간 침입을 시도 중입니다. 내일 오후 시간대 출입 통제를 점검해주세요.","폐쇄시간 무단 출입 감지"
